Name,Cost_per_Unit,Durability,Strength,Resistance,Performance,Pressure,Construction_Cost_Over_Time_Years,Area_Measurements,Risk_Score,Material_Score
Glass,332.33,48.6,25.05,2.7,61.97,580.61,13812.91,800.63,9.67,2.36
Clay,373.05,10.88,130.16,5.17,59.33,767.55,14270.77,905.1,1.19,5.2
Concrete,458.7,49.07,25.59,8.7,26.91,329.82,4197.76,213.54,4.47,6.35
Bamboo,137.43,33.81,190.66,4.91,23.74,435.96,16252.78,875.78,4.6,9.48
PVC,30.88,13.63,67.6,9.37,80.32,850.63,13595.6,460.11,6.67,5.04
Copper,189.9,38.61,268.98,8.47,70.75,491.96,7414.32,509.09,5.72,8.92
Gypsum,92.18,19.69,62.85,3.43,61.47,757.3,11921.63,530.47,1.17,9.72
Copper,99.56,20.89,61,1.78,8.66,389.56,14872.67,843.64,1.38,9.94
Granite,218.86,49.08,241.62,5.68,21.16,956.17,14628.2,505.92,8.66,9.36
Limestone,316.15,8.11,124.57,2.45,40.22,113.64,13413.39,622.4,8.74,4.9
Marble,154.1,20.56,289.38,4.26,12.86,382.69,2679.05,655.92,9.66,1.16
Titanium,276.07,13.18,137.27,3.6,13.18,726.3,1789.62,79.53,5.61,2.24
Fiber Cement,429.75,49.96,75.5,9.9,10.98,526.25,19093.7,988.92,4.26,6.48
PVC,100.89,48.81,231.32,6.81,61.37,676.74,18288.31,287.64,3.76,6.62
Fiberglass,260.35,46.39,195.13,6.52,34.83,606.13,3966.66,390.83,8.4,3.87
Rubber,481.86,40.7,108.08,7.68,68.81,132.95,12692.76,733.88,8.51,8.25
Copper,485.85,25.13,172.19,3.89,17.08,544.9,15971.29,981.16,5.76,4.02
Granite,106.04,23.55,126.96,2.12,47.44,118.13,8348.5,328.21,7.89,5.58
Wood,246.05,14,282.46,1.99,40.95,336.18,2818.09,850.93,7.41,6.51
Rubber,337.6,11.57,288.15,3.65,90.85,317.98,4449.14,968.29,4.44,6.76
Glass,334.52,34.17,32.48,2.98,88.58,322.72,14244.51,398.33,3.6,9.26
Steel,25.45,40.33,154.74,2.97,69.71,391.72,7800.93,154.75,2.95,7.26
Aluminum,48.04,14.95,255.11,9.61,11.79,448.22,3852.29,836.87,4.72,4.31
Brick,56.34,30.82,156.69,1.06,15.31,151.75,1086.17,313.37,8.24,3.59
Wood,245.25,33.25,120.21,6.08,85.55,692.47,14015,238.79,1.83,7.77
Granite,51.59,8.29,234.22,4.03,63.41,234.84,1804.15,228.16,1.81,6.53
Brick,234,24.59,120.76,4.46,6.99,358.67,14876.64,406.8,1.2,1.83
Steel,462.66,29.28,15.96,7.41,38.37,856.47,9042.96,509.86,4.08,5.01
Concrete,229.15,30.23,184.37,3.66,29.63,605.81,16564.48,218.53,5.46,2.12
